action_id,workflow_id,action,owner,effort,expected_outcome
WF01-A1,WF01,Move into weekly revenue operating review,Sales Strategy,Medium,Faster account review
WF01-A2,WF01,Add manager review checkpoint,Sales Strategy,Medium,Earlier renewal intervention
WF01-A3,WF01,Backtest against previous quarter,Sales Strategy,Medium,Higher stage conversion
WF02-A1,WF02,Confirm source ownership and SLA,Marketing Ops,High,Higher stage conversion
WF02-A2,WF02,Confirm source ownership and SLA,Marketing Ops,Medium,Reduced manual inspection time
WF02-A3,WF02,Backtest against previous quarter,Marketing Ops,High,Reduced manual inspection time
WF03-A1,WF03,Create enablement brief for field leaders,SDR Leadership,High,Faster account review
WF03-A2,WF03,Backtest against previous quarter,SDR Leadership,Low,Faster account review
WF03-A3,WF03,Backtest against previous quarter,SDR Leadership,Medium,Higher stage conversion
WF04-A1,WF04,Launch two-week pilot cohort,Revenue Operations,High,Faster account review
WF04-A2,WF04,Launch two-week pilot cohort,Revenue Operations,High,Earlier renewal intervention
WF04-A3,WF04,Confirm source ownership and SLA,Revenue Operations,High,Reduced manual inspection time
WF05-A1,WF05,Create enablement brief for field leaders,Sales Leadership,High,Higher stage conversion
WF05-A2,WF05,Move into weekly revenue operating review,Sales Leadership,Low,Faster account review
WF05-A3,WF05,Confirm source ownership and SLA,Sales Leadership,Low,Faster account review
WF06-A1,WF06,Add manager review checkpoint,GTM Operations,High,Faster account review
WF06-A2,WF06,Add manager review checkpoint,GTM Operations,High,Faster account review
WF06-A3,WF06,Create enablement brief for field leaders,GTM Operations,High,Higher stage conversion
WF07-A1,WF07,Backtest against previous quarter,Customer Success,Low,Cleaner forecast calls
WF07-A2,WF07,Backtest against previous quarter,Customer Success,Low,Higher stage conversion
WF07-A3,WF07,Confirm source ownership and SLA,Customer Success,Medium,Faster account review
WF08-A1,WF08,Backtest against previous quarter,Customer Success,High,Cleaner forecast calls
WF08-A2,WF08,Confirm source ownership and SLA,Customer Success,Low,Higher stage conversion
WF08-A3,WF08,Backtest against previous quarter,Customer Success,Low,Reduced manual inspection time
WF09-A1,WF09,Move into weekly revenue operating review,GTM Operations,Low,Faster account review
WF09-A2,WF09,Confirm source ownership and SLA,GTM Operations,High,Reduced manual inspection time
WF09-A3,WF09,Move into weekly revenue operating review,GTM Operations,High,Faster account review
WF10-A1,WF10,Confirm source ownership and SLA,Sales Operations,Low,Reduced manual inspection time
WF10-A2,WF10,Launch two-week pilot cohort,Sales Operations,Low,Faster account review
WF10-A3,WF10,Confirm source ownership and SLA,Sales Operations,Low,Reduced manual inspection time
WF11-A1,WF11,Confirm source ownership and SLA,Data Engineering,Medium,Earlier renewal intervention
WF11-A2,WF11,Launch two-week pilot cohort,Data Engineering,Low,Faster account review
WF11-A3,WF11,Move into weekly revenue operating review,Data Engineering,Low,Faster account review
WF12-A1,WF12,Backtest against previous quarter,Revenue Strategy,Low,Higher stage conversion
WF12-A2,WF12,Create enablement brief for field leaders,Revenue Strategy,Low,Faster account review
WF12-A3,WF12,Create enablement brief for field leaders,Revenue Strategy,High,Reduced manual inspection time
