entity_id,entity_name,segment,owner
REV001,Revenue workflow 1,Watch,Operations
REV002,Revenue workflow 2,Strategic,Revenue
REV003,Revenue workflow 3,Strategic,Customer
REV004,Revenue workflow 4,Watch,Operations
REV005,Revenue workflow 5,Strategic,Customer
REV006,Revenue workflow 6,Growth,Analytics
REV007,Revenue workflow 7,Strategic,Customer
REV008,Revenue workflow 8,Core,Operations
REV009,Revenue workflow 9,Growth,Operations
REV010,Revenue workflow 10,Watch,Customer
REV011,Revenue workflow 11,Growth,Revenue
REV012,Revenue workflow 12,Growth,Analytics
REV013,Revenue workflow 13,Strategic,Revenue
REV014,Revenue workflow 14,Strategic,Product
REV015,Revenue workflow 15,Strategic,Customer
REV016,Revenue workflow 16,Strategic,Revenue
REV017,Revenue workflow 17,Core,Analytics
REV018,Revenue workflow 18,Growth,Product
REV019,Revenue workflow 19,Watch,Customer
REV020,Revenue workflow 20,Core,Operations
REV021,Revenue workflow 21,Core,Customer
REV022,Revenue workflow 22,Strategic,Customer
REV023,Revenue workflow 23,Watch,Product
REV024,Revenue workflow 24,Strategic,Operations
REV025,Revenue workflow 25,Growth,Revenue
REV026,Revenue workflow 26,Core,Customer
REV027,Revenue workflow 27,Growth,Analytics
REV028,Revenue workflow 28,Core,Customer
REV029,Revenue workflow 29,Growth,Analytics
REV030,Revenue workflow 30,Growth,Customer
REV031,Revenue workflow 31,Core,Product
REV032,Revenue workflow 32,Watch,Customer
REV033,Revenue workflow 33,Core,Customer
REV034,Revenue workflow 34,Watch,Revenue
REV035,Revenue workflow 35,Growth,Customer
REV036,Revenue workflow 36,Watch,Customer
