territory,week,pipeline_created_usd,stage_2_plus_usd,closed_won_usd,forecast_commit_usd,deal_velocity_days,forecast_risk_pct
Northeast Enterprise,2026-W01,1428807,17800888,192948,2917401,61,15
Northeast Enterprise,2026-W02,1206331,12874474,111329,4896059,97,34
Northeast Enterprise,2026-W03,1613880,15499775,202527,2583972,127,21
Northeast Enterprise,2026-W04,1231595,20774665,156599,3673422,91,23
Northeast Enterprise,2026-W05,1735425,12001936,140719,2493356,70,11
Northeast Enterprise,2026-W06,2100622,19745857,163620,4627836,87,26
Northeast Enterprise,2026-W07,1008795,14142571,180722,5270408,118,27
Northeast Enterprise,2026-W08,2484573,15328984,110859,5077332,62,25
Northeast Enterprise,2026-W09,1926332,15868656,188423,5323023,76,12
Northeast Enterprise,2026-W10,2606137,14966730,247884,2817530,85,34
Northeast Enterprise,2026-W11,1245702,9559195,110767,4402561,83,35
Northeast Enterprise,2026-W12,2027046,20090884,139038,5101991,66,11
Northeast Enterprise,2026-W13,1597033,14278955,149784,3152489,116,38
Northeast Enterprise,2026-W14,2469850,19458030,196545,3909310,111,12
Northeast Enterprise,2026-W15,1644405,10963414,191014,4633735,70,38
Northeast Enterprise,2026-W16,1089089,19364801,222165,4968884,102,37
Financial Services,2026-W01,652025,8538211,140720,3652065,109,10
Financial Services,2026-W02,1086729,13956398,240773,2148494,118,38
Financial Services,2026-W03,932406,9409247,176229,4149337,97,17
Financial Services,2026-W04,1629071,13770363,239736,4630071,87,13
Financial Services,2026-W05,971101,12742363,256058,2878494,111,28
Financial Services,2026-W06,1389727,7752892,153081,4230830,120,33
Financial Services,2026-W07,1233166,9422439,124678,4143526,66,18
Financial Services,2026-W08,1467386,9687045,257245,3425281,130,9
Financial Services,2026-W09,817343,13922490,151129,2170903,62,23
Financial Services,2026-W10,667910,9300931,150833,3006130,117,25
Financial Services,2026-W11,1088123,14352440,239063,2666330,120,28
Financial Services,2026-W12,1147763,14688611,201252,3497985,102,14
Financial Services,2026-W13,1622772,8387804,266461,2258973,61,21
Financial Services,2026-W14,666808,13730742,257120,2592088,86,29
Financial Services,2026-W15,879668,7921623,233648,3395700,59,24
Financial Services,2026-W16,1712377,11877382,224415,2038750,90,28
Digital Native West,2026-W01,1885629,15271336,159094,2277228,96,30
Digital Native West,2026-W02,1379125,12991727,177511,1781281,142,35
Digital Native West,2026-W03,1809819,12370289,178874,2428856,71,24
Digital Native West,2026-W04,761878,16638969,185746,3790228,91,29
Digital Native West,2026-W05,1636476,15679178,135581,2116634,88,37
Digital Native West,2026-W06,752335,15328623,210613,2714439,98,30
Digital Native West,2026-W07,864697,7010721,164726,2459262,111,21
Digital Native West,2026-W08,1200271,7109350,195649,3109444,82,19
Digital Native West,2026-W09,1657361,8979635,170195,3610078,103,25
Digital Native West,2026-W10,1081254,8455913,188244,3076999,95,12
Digital Native West,2026-W11,1311756,14164756,198161,3078842,81,30
Digital Native West,2026-W12,1891181,13299986,124348,2289267,97,22
Digital Native West,2026-W13,1740517,10069083,129970,2455608,73,24
Digital Native West,2026-W14,748149,13099624,176899,3223780,118,37
Digital Native West,2026-W15,938494,7954248,191632,3010180,110,10
Digital Native West,2026-W16,1852343,8263847,237371,2569960,130,37
Central Commercial,2026-W01,1414220,9518611,168515,1690527,139,10
Central Commercial,2026-W02,558099,7767074,185978,1675537,78,24
Central Commercial,2026-W03,1421153,11909371,101215,2159090,112,21
Central Commercial,2026-W04,1027292,9435306,84479,2341619,105,9
Central Commercial,2026-W05,1539244,11721948,155099,1400679,58,29
Central Commercial,2026-W06,1364086,7380340,201513,1937256,71,21
Central Commercial,2026-W07,1109463,8033726,92612,1451390,95,23
Central Commercial,2026-W08,1357705,10408802,129179,2987665,75,19
Central Commercial,2026-W09,1654391,9539868,184492,1668748,109,9
Central Commercial,2026-W10,805466,11479094,101456,2706956,133,25
Central Commercial,2026-W11,739746,8528587,171133,1436151,139,17
