workflow_id,week,eligible_records,agent_recommendations,human_acceptance_pct,measured_lift_pct,qa_exception_rate_pct
WF01,2026-W05,97,72,50.7,16.2,6.2
WF01,2026-W06,117,37,75.1,16.5,7.0
WF01,2026-W07,105,69,59.9,16.0,4.9
WF01,2026-W08,116,50,68.5,19.9,8.1
WF01,2026-W09,88,65,71.7,20.1,3.6
WF01,2026-W10,105,51,68.5,18.4,5.7
WF01,2026-W11,110,59,46.5,17.7,6.6
WF01,2026-W12,121,36,65.8,24.0,6.4
WF01,2026-W13,119,79,64.3,21.1,6.3
WF01,2026-W14,142,48,58.8,20.9,7.5
WF01,2026-W15,131,85,74.9,16.6,4.8
WF01,2026-W16,95,56,54.3,18.3,6.8
WF02,2026-W05,93,40,59.5,12.7,4.1
WF02,2026-W06,88,65,93.0,14.8,3.7
WF02,2026-W07,102,45,87.2,18.0,6.7
WF02,2026-W08,117,78,97,9.1,5.0
WF02,2026-W09,65,70,81.0,15.1,6.8
WF02,2026-W10,65,34,89.7,15.7,7.0
WF02,2026-W11,64,61,97,12.2,5.3
WF02,2026-W12,91,48,78.7,19.9,5.7
WF02,2026-W13,91,42,66.1,14.9,2.2
WF02,2026-W14,71,76,89.0,12.7,5.2
WF02,2026-W15,96,40,70.2,19.4,8.7
WF02,2026-W16,87,39,90.8,14.1,4.2
WF03,2026-W05,62,63,66.1,18.2,9.9
WF03,2026-W06,94,67,73.1,16.8,10.0
WF03,2026-W07,81,63,55.0,14.5,6.4
WF03,2026-W08,92,55,69.8,22.5,9.4
WF03,2026-W09,70,28,60.4,19.2,6.6
WF03,2026-W10,83,69,52.4,16.0,10.1
WF03,2026-W11,92,44,61.6,21.9,7.5
WF03,2026-W12,82,41,64.1,18.4,7.0
WF03,2026-W13,65,26,59.0,21.0,8.4
WF03,2026-W14,72,40,54.9,24.2,10.2
WF03,2026-W15,75,59,63.1,18.8,6.5
WF03,2026-W16,79,28,64.8,21.3,9.2
WF04,2026-W05,91,90,76.8,16.8,1.8
WF04,2026-W06,93,82,75.4,18.3,0.2
WF04,2026-W07,80,51,88.7,12.3,0.2
WF04,2026-W08,134,49,97,11.8,0.2
WF04,2026-W09,108,46,71.2,17.0,0.8
WF04,2026-W10,108,68,85.8,8.5,0.8
WF04,2026-W11,107,90,69.3,14.2,0.2
WF04,2026-W12,116,82,85.8,13.9,0.2
WF04,2026-W13,103,70,83.7,17.5,0.8
WF04,2026-W14,76,93,67.5,9.9,1.6
WF04,2026-W15,104,88,79.0,9.4,1.8
WF04,2026-W16,129,64,74.8,12.2,0.9
WF05,2026-W05,69,33,75.3,9.4,2.8
WF05,2026-W06,63,35,59.3,10.8,0.2
WF05,2026-W07,63,25,70.3,6.7,2.0
WF05,2026-W08,79,22,73.1,9.2,2.2
WF05,2026-W09,83,60,71.4,6.3,0.3
WF05,2026-W10,67,40,69.4,11.3,0.2
WF05,2026-W11,56,48,60.3,13.1,2.8
WF05,2026-W12,67,21,65.4,10.5,2.8
WF05,2026-W13,79,54,57.7,7.4,0.2
WF05,2026-W14,57,25,70.0,8.3,0.2
WF05,2026-W15,90,34,65.1,12.0,2.7
WF05,2026-W16,68,28,77.5,7.4,0.2
WF06,2026-W05,89,57,92.0,10.0,2.8
WF06,2026-W06,120,88,84.3,5.4,1.9
WF06,2026-W07,112,55,89.6,6.0,2.3
WF06,2026-W08,117,47,85.1,8.4,3.8
WF06,2026-W09,79,57,83.3,3.7,1.3
WF06,2026-W10,76,77,82.6,10.3,0.7
WF06,2026-W11,121,32,81.8,5.2,2.7
WF06,2026-W12,121,75,83.7,5.5,7.5
WF06,2026-W13,97,51,87.9,6.0,4.6
WF06,2026-W14,84,79,83.4,6.5,1.3
WF06,2026-W15,114,68,86.5,10.5,2.3
WF06,2026-W16,73,51,89.9,8.3,3.8
WF07,2026-W05,36,22,67.2,10.9,4.4
WF07,2026-W06,48,25,79.7,12.0,1.2
WF07,2026-W07,44,20,97,12.8,2.7
WF07,2026-W08,32,23,83.3,18.1,6.1
WF07,2026-W09,44,31,83.2,13.1,2.0
WF07,2026-W10,26,32,70.8,15.9,5.4
WF07,2026-W11,49,20,97,13.8,4.9
WF07,2026-W12,46,31,77.9,16.4,4.8
WF07,2026-W13,27,26,81.3,13.2,2.3
WF07,2026-W14,43,20,72.7,15.2,4.4
WF07,2026-W15,30,13,73.9,11.9,3.8
WF07,2026-W16,33,14,83.4,17.0,2.2
WF08,2026-W05,52,19,86.8,10.2,0.2
WF08,2026-W06,38,38,82.5,17.9,2.1
WF08,2026-W07,54,18,86.4,10.8,0.2
WF08,2026-W08,51,34,97,12.2,3.1
WF08,2026-W09,36,30,97,14.8,3.0
WF08,2026-W10,38,23,91.6,13.7,0.3
WF08,2026-W11,45,17,64.8,13.7,3.4
WF08,2026-W12,30,18,96.3,18.7,0.2
WF08,2026-W13,41,20,87.4,6.9,0.3
WF08,2026-W14,47,27,95.2,12.7,2.1
WF08,2026-W15,32,37,96.2,11.7,0.7
WF08,2026-W16,51,30,97,10.3,0.6
WF09,2026-W05,35,19,61.0,10.9,6.2
WF09,2026-W06,25,25,59.8,14.7,4.2
WF09,2026-W07,24,24,81.8,11.1,6.1
WF09,2026-W08,30,27,64.2,14.4,9.0
WF09,2026-W09,23,25,61.1,6.6,5.8
WF09,2026-W10,41,16,70.7,12.9,3.9
WF09,2026-W11,24,23,70.0,11.7,5.1
WF09,2026-W12,30,27,63.7,14.6,3.7
WF09,2026-W13,28,11,55.7,11.8,4.9
WF09,2026-W14,37,14,79.2,5.4,8.6
WF09,2026-W15,43,25,62.8,7.1,5.8
WF09,2026-W16,41,10,59.1,6.7,5.0
WF10,2026-W05,56,49,68.7,11.2,1.7
WF10,2026-W06,67,59,97,6.5,0.2
WF10,2026-W07,68,35,95.4,8.9,2.0
WF10,2026-W08,60,30,78.3,4.9,1.9
WF10,2026-W09,78,67,92.0,10.6,1.5
WF10,2026-W10,60,54,94.5,10.2,0.2
WF10,2026-W11,54,61,88.2,9.2,1.6
WF10,2026-W12,77,54,97,7.4,6.2
WF10,2026-W13,54,41,75.7,9.5,1.6
WF10,2026-W14,91,29,97,13.8,1.8
WF10,2026-W15,99,29,93.9,5.3,0.2
WF10,2026-W16,80,34,80.5,8.3,1.3
WF11,2026-W05,47,21,89.8,13.1,0.7
WF11,2026-W06,65,42,81.9,12.4,2.6
WF11,2026-W07,50,34,64.2,7.7,1.3
WF11,2026-W08,44,27,83.9,8.3,5.9
WF11,2026-W09,64,18,95.0,6.8,3.4
WF11,2026-W10,71,19,48.6,5.7,1.8
WF11,2026-W11,66,46,97,10.6,3.4
WF11,2026-W12,65,28,97,10.2,0.3
WF11,2026-W13,44,36,88.8,2.5,3.1
WF11,2026-W14,62,47,82.9,3.3,2.0
WF11,2026-W15,44,49,91.7,4.6,2.2
WF11,2026-W16,41,24,93.7,7.7,4.6
WF12,2026-W05,71,40,60.5,2.3,2.2
WF12,2026-W06,75,33,61.4,4.7,2.4
WF12,2026-W07,50,19,47.5,1.1,5.1
WF12,2026-W08,65,25,38.5,2.7,6.1
WF12,2026-W09,67,43,59.4,7.2,3.3
WF12,2026-W10,57,31,54.2,-0.2,0.7
WF12,2026-W11,75,44,49.9,2.2,4.6
WF12,2026-W12,70,32,51.4,6.1,1.3
WF12,2026-W13,45,35,46.2,5.9,0.9
WF12,2026-W14,57,33,60.6,7.6,1.3
WF12,2026-W15,66,47,52.5,8.4,3.7
WF12,2026-W16,44,28,48.8,7.2,4.4
