event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,REV005,experiment,High,49131
EV0002,2026-01-02,REV022,experiment,Medium,50082
EV0003,2026-01-03,REV013,exception,Medium,7176
EV0004,2026-01-04,REV025,qa_check,High,39694
EV0005,2026-01-05,REV017,handoff,Low,26316
EV0006,2026-01-06,REV010,handoff,Medium,3017
EV0007,2026-01-07,REV018,launch,Low,9801
EV0008,2026-01-08,REV004,experiment,Low,37272
EV0009,2026-01-09,REV001,stakeholder_request,Low,15891
EV0010,2026-01-10,REV023,launch,Medium,9693
EV0011,2026-01-11,REV025,handoff,Low,16544
EV0012,2026-01-12,REV004,stakeholder_request,Medium,25958
EV0013,2026-01-13,REV016,experiment,Medium,19832
EV0014,2026-01-14,REV017,experiment,Medium,26333
EV0015,2026-01-15,REV020,exception,Medium,41072
EV0016,2026-01-16,REV004,handoff,Low,3039
EV0017,2026-01-17,REV017,exception,Low,25678
EV0018,2026-01-18,REV014,exception,Medium,14839
EV0019,2026-01-19,REV021,launch,Medium,32728
EV0020,2026-01-20,REV032,experiment,Medium,50340
EV0021,2026-01-21,REV023,handoff,Medium,9754
EV0022,2026-01-22,REV025,handoff,High,49018
EV0023,2026-01-23,REV003,qa_check,Medium,34250
EV0024,2026-01-24,REV008,stakeholder_request,Low,28452
EV0025,2026-01-25,REV006,launch,Low,43391
EV0026,2026-01-26,REV006,qa_check,Low,8795
EV0027,2026-01-27,REV032,exception,High,30487
EV0028,2026-01-28,REV030,launch,Medium,43443
EV0029,2026-01-29,REV026,stakeholder_request,Medium,38639
EV0030,2026-01-30,REV031,stakeholder_request,Low,46937
EV0031,2026-01-31,REV007,qa_check,Low,3122
EV0032,2026-02-01,REV005,qa_check,Low,38080
EV0033,2026-02-02,REV009,experiment,Medium,8989
EV0034,2026-02-03,REV035,experiment,Medium,25767
EV0035,2026-02-04,REV015,stakeholder_request,Medium,36886
EV0036,2026-02-05,REV036,stakeholder_request,High,1047
EV0037,2026-02-06,REV029,exception,Low,21093
EV0038,2026-02-07,REV022,exception,High,35387
EV0039,2026-02-08,REV033,handoff,Low,13780
EV0040,2026-02-09,REV024,launch,High,21667
EV0041,2026-02-10,REV011,stakeholder_request,Low,43482
EV0042,2026-02-11,REV021,experiment,High,36391
EV0043,2026-02-12,REV034,qa_check,High,28293
EV0044,2026-02-13,REV020,exception,Low,35615
EV0045,2026-02-14,REV017,launch,Medium,1281
EV0046,2026-02-15,REV011,exception,High,17591
EV0047,2026-02-16,REV010,experiment,Medium,30120
EV0048,2026-02-17,REV034,qa_check,High,34140
EV0049,2026-02-18,REV016,handoff,Medium,36935
EV0050,2026-02-19,REV016,experiment,High,50731
EV0051,2026-02-20,REV008,qa_check,Low,33381
EV0052,2026-02-21,REV034,stakeholder_request,Medium,15787
EV0053,2026-02-22,REV027,handoff,Low,49922
EV0054,2026-02-23,REV034,qa_check,High,36206
EV0055,2026-02-24,REV008,qa_check,Low,16842
EV0056,2026-02-25,REV008,launch,Low,41106
EV0057,2026-02-26,REV003,launch,Low,8971
EV0058,2026-02-27,REV023,experiment,High,15282
EV0059,2026-02-28,REV033,exception,Low,30129
EV0060,2026-03-01,REV029,exception,High,29883
EV0061,2026-03-02,REV005,stakeholder_request,High,6787
EV0062,2026-03-03,REV010,experiment,Low,18815
EV0063,2026-03-04,REV024,launch,High,42451
EV0064,2026-03-05,REV035,launch,Low,21850
EV0065,2026-03-06,REV010,exception,Low,5763
EV0066,2026-03-07,REV003,launch,Medium,18968
EV0067,2026-03-08,REV023,experiment,Low,48818
EV0068,2026-03-09,REV035,launch,High,25406
EV0069,2026-03-10,REV019,handoff,Low,47204
EV0070,2026-03-11,REV027,exception,High,35432
EV0071,2026-03-12,REV016,exception,High,21758
EV0072,2026-03-13,REV032,stakeholder_request,High,20836
EV0073,2026-03-14,REV013,experiment,Medium,48542
EV0074,2026-03-15,REV009,experiment,High,35643
EV0075,2026-03-16,REV001,experiment,Low,17537
EV0076,2026-03-17,REV016,qa_check,High,15033
EV0077,2026-03-18,REV013,exception,High,12556
EV0078,2026-03-19,REV019,launch,High,41001
EV0079,2026-03-20,REV015,launch,Low,24877
EV0080,2026-03-21,REV030,qa_check,Medium,44711
